date,equity_curve
2022-07-28,86357.32372360866
2022-07-29,87453.98167048779
2022-08-01,87371.6724632302
2022-08-02,87186.4019203486
2022-08-03,88449.77342520036
2022-08-04,88858.92501182256
2022-08-05,89126.50476196174
2022-08-08,89375.52752719194
2022-08-10,88840.3680269136
2022-08-11,90648.17752449818
2022-08-12,90093.263814478
2022-08-16,89858.60774724185
2022-08-17,90081.29156614965
2022-08-18,89555.41055832578
2022-08-19,89674.53442919313
2022-08-22,88848.44929453525
2022-08-23,86995.74386571925
2022-08-24,86220.8400926652
2022-08-25,85237.020586281
2022-08-26,85342.97498398711
2022-08-29,82968.57883426217
2022-08-30,85050.25351235834
2022-09-01,82945.83156243827
2022-09-02,82911.41134849419
2022-09-05,82991.0267998779
2022-09-06,82822.81671086422
2022-09-07,83419.93259624192
2022-09-08,83951.20111581356
2022-09-09,85222.35458207875
2022-09-12,85892.50118225953
2022-09-13,85532.43581378367
2022-09-14,82646.52535422891
2022-09-15,82221.51053857162
2022-09-16,79688.1827922875
2022-09-19,80220.64853669197
2022-09-20,80525.0429504409
2022-09-21,79489.44347003648
2022-09-22,79653.76257834342
2022-09-23,78982.4187533298
2022-09-26,79309.56043890266
2022-09-27,79919.84579744155
2022-09-28,80402.02809886685
2022-09-29,79386.18282820424
2022-09-30,79578.33741387467
2022-10-03,79059.0411426314
2022-10-04,81871.92088738305
2022-10-06,82158.05762243121
2022-10-07,81176.63256571269
2022-10-10,82597.73844229078
2022-10-11,81299.94672349497
2022-10-12,82126.33116436102
2022-10-13,82193.67506120814
2022-10-14,82083.8296827953
2022-10-17,82630.96143140204
2022-10-18,83505.83347799802
2022-10-19,82899.13979395763
2022-10-20,83840.4578187761
2022-10-21,83311.88305507836
2022-10-24,83957.18723997776
2022-10-25,83967.96226347331
2022-10-27,83843.15157465
2022-10-28,83998.49149671066
2022-10-31,84792.25156088191
2022-11-01,86559.65472035823
2022-11-02,86081.66270584786
2022-11-03,85153.51415419062
2022-11-04,85436.35852094846
2022-11-07,85869.15529801922
2022-11-09,85400.44177596335
2022-11-10,85124.18214578611
2022-11-11,88053.19269932299
2022-11-14,88572.48897056626
2022-11-15,88495.26796884823
2022-11-16,89099.56720322295
2022-11-17,88930.75850179288
2022-11-18,88783.49984735386
2022-11-21,87191.49012588822
2022-11-22,88026.85375300057
2022-11-23,87850.26309015704
2022-11-24,89758.04086128356
2022-11-25,90010.35599480406
2022-11-28,90159.1111802841
2022-11-29,90214.78213501106
2022-11-30,90040.88522804143
2022-12-01,92294.06236344157
2022-12-02,91324.90886125962
2022-12-05,90972.92476040541
2022-12-06,89896.0210232681
2022-12-07,89770.01310961194
2022-12-08,88972.06275852578
2022-12-09,87437.22052282811
2022-12-12,87269.90835243906
2022-12-13,88482.09849568702
2022-12-14,89365.05180990467
2022-12-15,87765.26012702558
2022-12-16,86043.05220498887
2022-12-19,85028.70346536732
2022-12-20,86141.22464128156
2022-12-21,86794.61009380262
2022-12-22,86559.65472035827
2022-12-23,85726.98484911979
2022-12-26,86378.87377059979
2022-12-27,86554.26720861049
2022-12-28,86490.51498626189
2022-12-29,86799.99760555038
2022-12-30,86480.03926897456
2023-01-02,86606.0471826307
2023-01-03,87931.07576637359
2023-01-04,88018.77248537894
2023-01-05,87924.49102979299
2023-01-06,85281.01859888781
2023-01-09,88159.44640323734
2023-01-10,87268.71112760624
2023-01-11,88391.7080208078
2023-01-12,88541.9597373289
2023-01-13,89609.28567580353
2023-01-16,90546.41341370707
2023-01-17,91750.82159554158
2023-01-18,92065.69172657785
2023-01-19,91606.85530939288
2023-01-20,91335.38457854699
2023-01-23,92742.12375713102
2023-01-24,93323.07710726542
2023-01-25,93145.28921958906
2023-01-27,92637.36658425775
2023-01-30,93251.24361729517
2023-01-31,91215.66209526324
2023-02-01,92564.03656324644
2023-02-02,93977.65978461929
2023-02-03,94572.38122033131
2023-02-06,93965.38823008271
2023-02-07,94307.79453227423
2023-02-08,95599.00151448947
2023-02-09,96162.59510454771
2023-02-10,96073.10254829311
2023-02-13,94575.07497620521
2023-02-14,95056.0600527977
2023-02-15,95613.96682489997
2023-02-16,96629.81209556258
2023-02-17,95084.49414257759
2023-02-20,94708.26623885841
2023-02-21,93722.35158901675
2023-02-22,92379.36463278129
2023-02-23,92712.19313631012
2023-02-24,92349.73331816857
2023-02-27,90486.55217206523
2023-02-28,89970.54826911227
2023-03-01,91948.96230537622
2023-03-02,90204.00711151559
2023-03-03,90766.40347674099
2023-03-06,91572.73440165703
2023-03-08,92076.76605628162
2023-03-09,90622.43719059229
2023-03-10,90463.50559403311
2023-03-13,89131.29366129318
2023-03-14,87311.81122158842
2023-03-15,86876.02138243557
2023-03-16,86498.29694767535
2023-03-17,86343.5556380311
2023-03-20,85366.02156201929
2023-03-21,84355.56380310445
2023-03-22,85026.30901570166
2023-03-23,84859.29615152082
2023-03-24,84746.7570172341
2023-03-27,84795.54392917223
2023-03-28,84621.64702220257
2023-03-29,85246.29907873552
2023-03-31,87066.08082464848
2023-04-03,86905.65269704828
2023-04-05,87986.74672110051
2023-04-06,87468.04906227368
2023-04-10,88627.56131287677
2023-04-11,87280.6833759346
2023-04-12,88037.03016407968
2023-04-13,86603.0541205486
2023-04-17,85262.76092018702
2023-04-18,85025.11179086877
2023-04-19,83907.50240941498
2023-04-20,84320.2456705357
2023-04-21,85842.51704548858
2023-04-24,86221.43870508164
2023-04-25,86254.06308177648
2023-04-26,86855.6685602773
2023-04-27,86578.51101147542
2023-04-28,87428.54064279005
2023-05-02,87432.73092970497
2023-05-03,86360.01747948259
2023-05-04,87468.04906227368
2023-05-05,87739.51979311957
2023-05-08,88280.0668051457
2023-05-09,89166.61179386186
2023-05-10,89262.98839290526
2023-05-11,89136.68117304092
2023-05-12,88923.57515279583
2023-05-15,88400.68720705408
2023-05-16,88485.09155776913
2023-05-17,87142.10460153368
2023-05-18,86901.76171634156
2023-05-19,87526.41377287453
2023-05-22,89586.23909777142
2023-05-23,89541.34316654003
2023-05-24,89712.54631763577
2023-05-25,89444.9665674966
2023-05-26,90406.3381082651
2023-05-29,90174.37579690284
2023-05-30,90061.5373564079
2023-05-31,89336.3184139166
2023-06-01,90273.44615182013
2023-06-02,89773.60478411046
2023-06-05,89320.15587867326
2023-06-06,87782.91919330994
2023-06-07,88940.03699424735
2023-06-08,87895.75763380487
2023-06-09,87158.26713677697
2023-06-12,88179.49991918734
2023-06-13,88092.70111880661
2023-06-14,88292.33835968225
2023-06-15,87998.12035701245
2023-06-16,86865.24635893996
2023-06-19,87836.79431078758
2023-06-20,88309.99742596658
2023-06-21,89144.46313445432
2023-06-22,88605.41265346925
2023-06-23,87999.31758184529
2023-06-26,87269.01043381442
2023-06-27,87479.72200439381
2023-06-28,87974.77447277211
2023-06-30,90349.76923491347
2023-07-03,89530.26883683623
2023-07-04,90530.25087846373
2023-07-05,90834.04667979626
2023-07-06,90914.56004980458
2023-07-07,91088.45695677423
2023-07-10,89520.69103817355
2023-07-11,89532.96259271013
2023-07-12,89190.85559672682
2023-07-13,91397.64026985451
2023-07-14,96161.09857350666
2023-07-17,95533.1541486834
2023-07-18,95673.8280665418
2023-07-19,94940.82716263707
2023-07-20,95002.48424152819
2023-07-21,92396.4250866492
2023-07-24,93121.94333534873
2023-07-25,93242.56373725711
2023-07-26,92945.05336629698
2023-07-27,93180.90665836597
2023-07-28,92042.64514854572
2023-07-31,93854.34562683705
2023-08-01,94693.89954086434
2023-08-02,94381.12455328554
2023-08-03,93264.71239666459
2023-08-04,94460.74000466922
2023-08-07,95571.46534333419
2023-08-08,95202.72009482025
2023-08-09,94980.33558212068
2023-08-10,94420.93227897737
2023-08-11,94604.70629081792
2023-08-14,94633.43968680601
2023-08-16,94868.09575404215
2023-08-17,94246.7360657995
2023-08-18,92363.50140374614
2023-08-21,93311.40416514523
2023-08-22,92776.24466486687
2023-08-23,93218.02062818389
2023-08-24,92930.08805588647
2023-08-25,92753.19808683473
2023-08-28,92595.46371510839
2023-08-29,92611.62625035169
2023-08-30,93017.7847748918
2023-08-31,92080.95634319646
2023-09-01,92695.4319886503
2023-09-04,93773.53295062046
2023-09-05,94071.04332158055
2023-09-06,94086.30793819924
2023-09-07,94781.5962598696
2023-09-08,94415.24546102133
2023-09-11,95478.38111258102
2023-09-12,98225.41349152662
2023-09-13,97870.4363285903
2023-09-14,97656.4323897206
2023-09-15,98705.50064949444
2023-09-18,98921.00111940518
2023-09-20,98918.30736353129
2023-09-21,98349.02695551707
2023-09-22,98852.45999772522
2023-09-25,98125.44521798467
2023-09-26,98360.10128522081
2023-09-27,98458.8723339299
2023-09-28,97017.11432898536
2023-09-29,96793.53259145295
2023-10-03,96389.1699041621
2023-10-04,97044.65050014063
2023-10-05,98460.06955876274
2023-10-06,99339.13189227365
2023-10-09,99804.25373983102
2023-10-10,99545.05456352171
2023-10-11,99023.66314882098
2023-10-12,97176.34523175274
2023-10-13,97952.74553584786
2023-10-16,96668.72190262967
2023-10-17,96202.40283023946
2023-10-18,95659.46136854767
2023-10-19,95037.8023740968
2023-10-20,96107.5227622371
2023-10-23,93786.40311757341
2023-10-25,93235.08108205175
2023-10-26,91767.88204940943
2023-10-27,92158.47665112266
2023-10-30,92917.51719514161
2023-10-31,92647.84230154498
2023-11-01,91599.97126660397
2023-11-02,92409.89386601852
2023-11-03,92156.98012008161
2023-11-06,92964.20896362228
2023-11-07,92694.53407002565
2023-11-08,92999.8264023992
2023-11-09,92062.10005207924
2023-11-10,91677.19226832199
2023-11-13,91624.81368188534
2023-11-15,93625.675683765
2023-11-16,96198.51184953276
2023-11-17,96324.81906939711
2023-11-20,96796.52565353508
2023-11-21,96537.92508964217
2023-11-22,97086.85267549816
2023-11-23,96484.3492783727
2023-11-24,95077.61009978865
2023-11-28,95436.47824343169
2023-11-29,96635.79821972662
2023-11-30,95916.56540139951
2023-12-01,96578.03212154222
2023-12-04,96599.8814747415
2023-12-05,97126.66040118999
2023-12-06,99120.63836028082
2023-12-07,99417.55011882453
2023-12-08,99741.99804852348
2023-12-11,100187.66499254723
2023-12-12,100990.70354917299
2023-12-13,98830.31133831776
2023-12-14,100857.21298031161
2023-12-15,106185.76140506304
2023-12-18,106136.3758807085
2023-12-19,104953.8170520733
2023-12-20,103959.52182840176
2023-12-21,104164.54658102516
2023-12-22,105168.1202971512
2023-12-26,104385.7338688919
2023-12-27,104816.13619629697
2023-12-28,104505.45635217565
2023-12-29,104326.77054587465
2024-01-01,104813.4424404231
2024-01-02,104046.02132257426
2024-01-03,101530.95125499093
2024-01-04,100844.94142577505
2024-01-05,102800.30888400687
2024-01-08,101161.30808785235
2024-01-09,101480.06919959534
2024-01-10,102116.99281066486
2024-01-11,102735.65874303364
2024-01-12,106785.27174010643
2024-01-15,107362.93272195052
2024-01-16,106194.14197889295
2024-01-17,106834.9565706692
2024-01-18,107330.00903904751
2024-01-19,109197.97908448217
2024-01-23,106849.32326866323
2024-01-24,106393.77921976856
2024-01-25,105521.60092904646
2024-01-29,105263.89828377818
2024-01-30,105251.6267292416
2024-01-31,105677.83876973175
2024-02-01,106735.88621575187
2024-02-02,109841.78673834051
2024-02-05,110035.73716126019
2024-02-06,114541.49281964406
2024-02-07,113084.76950428906
2024-02-08,114488.81492699918
2024-02-09,114477.74059729546
2024-02-12,114117.67522881957
2024-02-13,114915.32627369754
2024-02-14,113547.1975959725
2024-02-15,113633.0984777286
2024-02-16,114328.08749319076
2024-02-19,113649.56031918012
2024-02-20,111623.8559020191
2024-02-21,110539.76881588476
2024-02-22,113187.13222749665
2024-02-23,112217.97872531472
2024-02-26,110804.05619773366
2024-02-27,113666.32146683984
2024-02-28,114069.18762308966
2024-02-29,113408.61882157158
2024-03-01,113387.96669320512
2024-03-04,113009.9429522367
2024-03-05,111110.24644873182
2024-03-06,112555.59612817488
2024-03-07,113782.4522756251
2024-03-11,114163.46907867561
2024-03-12,116099.08232716561
2024-03-13,114901.25888191172
2024-03-14,116524.09714282292
2024-03-15,116846.74923527263
2024-03-18,114998.23409337156
2024-03-19,110146.48045829766
2024-03-20,109968.99187682952
2024-03-21,110025.8600563893
2024-03-22,108307.5431150593
2024-03-26,107382.68693169233
2024-03-27,106368.93680448718
2024-03-28,107349.16463637288
2024-04-01,108469.46777370054
2024-04-02,107556.88314487017
2024-04-03,109315.60642430844
2024-04-04,110866.31188904119
2024-04-05,110200.35557577535
2024-04-08,110014.78572668553
2024-04-09,109294.65498973378
2024-04-10,110350.00867988003
2024-04-12,110813.93330260454
2024-04-15,109146.49841667015
2024-04-16,107252.48873112124
2024-04-18,106953.18252291185
2024-04-19,105961.88036132243
2024-04-22,107025.31531909032
2024-04-23,107304.86731755786
2024-04-24,106096.26884880842
2024-04-25,106682.01109827418
2024-04-26,105827.49187383642
2024-04-29,107180.35593494277
2024-04-30,105808.03697030281
2024-05-02,106989.39857410519
2024-05-03,106438.07653858353
2024-05-06,108588.59164456786
2024-05-07,110191.97500194544
2024-05-08,110136.60335342672
2024-05-09,109672.67873070222
2024-05-10,107836.73444954594
2024-05-13,109329.37450988607
2024-05-14,108038.76614008725
2024-05-15,107462.90099549243
2024-05-16,108817.26158763985
2024-05-17,106952.28460428726
2024-05-21,106564.68306465611
2024-05-22,106893.91989368641
2024-05-23,108608.04654810148
2024-05-24,107382.08831927589
2024-05-27,107313.54719759594
2024-05-28,107114.20926292849
2024-05-29,106102.85358538902
2024-05-30,104218.72100471103
2024-05-31,102401.33370846372
2024-06-03,103291.17106547016
2024-06-04,103629.9856931632
2024-06-05,104507.25218942486
2024-06-06,106849.02396245499
2024-06-07,108621.81463367911
2024-06-10,107638.59373971132
2024-06-11,107454.52042166254
2024-06-12,106884.0427888155
2024-06-13,108181.2358951949
2024-06-14,106895.11711851922
2024-06-18,106422.51261575664
2024-06-19,106048.67916170313
2024-06-20,105645.51369924509
2024-06-21,106300.99429522362
2024-06-24,106469.8029966537
2024-06-25,107073.80292482021
2024-06-26,107558.97828832759
2024-06-27,109743.31499583958
2024-06-28,108906.45483768618
2024-07-01,110971.96698053904
2024-07-02,112065.63186533606
2024-07-03,110610.70438723033
2024-07-04,112164.70222025337
2024-07-05,111909.39402465078
2024-07-08,111390.39705961573
2024-07-09,111175.79450832959
2024-07-10,109045.93153071172
2024-07-11,109451.79074904363
2024-07-12,116711.46282916192
2024-07-15,116299.91679287404
2024-07-16,116557.9187443505
2024-07-18,120382.45347284985
2024-07-19,120294.45744763629
2024-07-22,119873.63291889393
2024-07-23,120292.96091659524
2024-07-24,120401.90837638345
2024-07-25,120856.25520044527
2024-07-26,122683.5196015635
2024-07-29,122494.95669039158
